Subject,Group,Sample,ISC_Neutral,ISC_Emotional,ISC_EMO-NEU,ISC_N-N,ISC_E-N,ISC_N-E,ISC_E-E,DP.50.Angry.Congruent,DP.50.Angry.Incongruent,DP.50.Happy.Congruent,DP.50.Happy.Incongruent,DP.50.Sad.Congruent,DP.50.Sad.Incongruent,DP.1000.Angry.Congruent,DP.1000.Angry.Incongruent,DP.1000.Happy.Congruent,DP.1000.Happy.Incongruent,DP.1000.Sad.Congruent,DP.1000.Sad.Incongruent,DPCongruency_happy50,DPCongruency_happy1000,DPCongruency_angry50,DPCongruency_angry1000,DPCongruency_sad50,DPCongruency_sad1000,MEMPriming_neg,MEMPrimig_neut,MEMPriming_pos,MemoryImplicit_neg-neu,MemoryImplicit_pos-neu,ExpMemNegative,ExpMemPositive,ExpMemNeutral,EXPMEM_Neg-Neu,EXPMEM_Pos-Neu,INTERcongruent.neg,INTERcongruent.neutral,INTERcongruent.pos,INTERincongruent.neg,INTERincongruent.neutral,INTERincongruent.pos,InterferenceCong_Neg-Neu,InterferenceCong_Pos-Neu,InterferenceIncong_Pos-Neu,InterferenceIncong_Neg-Neu,Interpretation_NegSelection,InterpretationRT_Neg,InterpretationRT_Pos,Interpretation_Rtneg-pos,ExpectancySelection_neg,ExpectancySelection_pos,ExpectancyRT_negative.accept,ExpectancyRT_negative.reject,ExpectancyRT_positive.accept,ExpectancyRT_positive.reject,ExpectancyConfidance_negative.accept,ExpectancyConfidance_negative.reject,ExpectancyConfidance_positive.accept,ExpectancyConfidance_positive.reject,ExpectancyRejection,ExpectancyAcceptance,BDI_SCORE,STAI_SCORE,PSWQ_SCORE,RRS_SCORE,DASS_Depression,DASS_Anxiety,DASS_stress
545,3,2,288,82,-206,1313,1496,1412,1435,406.22,391.3,416.07,411.43,416.63,407.39,387.5,385.17,387.62,393.54,396.21,412.9,-4.64,5.92,-14.92,-2.33,-9.24,16.69,0.05,0.15,0.15,-0.1,0,0,3,2,-2,1,397.93,385.1,393.14,410.86,375.16,397.56,12.83,8.04,22.4,35.7,0.9,1692.77,3103.25,-1410.48,0.75,0.12,2689.42,4289.5,3533.5,2753.8,5,4,5,5,1535.7,-844.08,42,75,71,80,42,38,52
546,1,2,208,179,-29,1206,1420,1235,1101,323.29,339.33,321.63,331.52,340.93,321.14,341.47,303.26,308.63,324.25,311.86,327.13,9.89,15.62,16.04,-38.21,-19.79,15.27,0.1,0.15,0.15,-0.05,0,6,5,4,2,1,377.58,379.02,388,409.79,410.19,403.66,-1.44,8.98,-6.53,-0.4,0.41,1210.38,1546.83,-336.45,0.65,1,2920.09,3095.5,2232.19,,3.73,4.17,3.81,,3095.5,687.9,14,51,62,61,10,20,38
547,3,2,283,280,-3,1092,1582,1183,1107,348.62,336.83,335.18,323.17,329.41,338.89,414.23,443.79,446.76,404.97,425.43,419,-12.01,-41.79,-11.79,29.56,9.48,-6.43,0.05,0.1,0.05,-0.05,-0.05,6,5,2,4,3,472.58,408.22,459.06,459.18,444.11,441.77,64.36,50.84,-2.34,15.07,0.42,1679.38,1521.23,158.15,0.71,1,2857.92,2332.8,3068.56,,3.42,3.2,3.81,,2332.8,-210.64,32,67,43,71,14,24,46
548,1,2,164,73,-91,1251,1201,1415,1221,440.54,445.03,460.83,412.29,420.43,407.87,464.59,450.11,448.93,491.13,463.34,455.61,-48.54,42.2,4.49,-14.48,-12.56,-7.73,0.15,-0.1,0.05,0.25,0.15,1,4,1,0,3,548.68,510.77,522.41,526.43,535.52,566.65,37.91,11.64,31.13,-9.09,0.46,3801.39,3383.14,418.25,0.12,0.94,3631,4817.87,4689.67,3566,2.5,3.87,3.67,3,1251.87,-1058.67,19,49,55,54,8,6,26
549,3,2,797,150,-647,1962,2278,2526,2508,600.8,602.86,607.72,586.03,619.27,562.1,744.36,778.23,734.93,799.57,734.72,817.85,-21.69,64.64,2.06,33.87,-57.17,83.13,0.15,0.3,0.2,-0.15,-0.1,2,6,3,-1,3,728.87,734.79,780.05,702.98,764.47,721.4,-5.92,45.26,-43.07,-61.49,0.26,2764.2,2574.41,189.79,0.31,0.71,7801,4518.91,5017.83,6612.8,2.4,4.18,3.75,2.6,-2093.89,2783.17,25,52,52,66,38,32,34
550,2,2,158,209,51,1097,1481,1302,1252,369.21,370.38,370.03,369.97,340.66,361.39,346.6,364.1,338.13,348.37,336.24,350.17,-0.06,10.24,1.17,17.5,20.73,13.93,0.35,0.2,0,0.15,-0.2,5,3,1,4,2,506.78,482.43,458.71,512.57,493.44,491.7,24.35,-23.72,-1.74,19.13,0.82,2052.09,2800,-747.91,0.82,0.25,3684.64,4363.67,4288.25,3536.08,4.07,3.33,2.25,4.08,827.59,-603.61,46,63,66,47,30,4,40
551,1,2,552,516,-36,1856,2405,2350,1867,361.2,352.28,369.55,357.54,350.55,371.2,312.87,321.1,329.34,321.47,321.96,316.57,-12.01,-7.87,-8.92,8.23,20.65,-5.39,0.05,0.1,0,-0.05,-0.1,6,4,1,5,3,391.24,391.65,380.64,410.52,405.11,398.42,-0.41,-11.01,-6.69,5.41,0.59,3656.87,5002.75,-1345.88,0.88,0.53,5903.07,4565,5217.33,6564.75,3.13,3.5,2.67,3.25,-1999.75,685.74,35,69,69,68,28,20,48
552,3,2,293,383,90,2219,2653,2693,2364,392.97,382.3,391.17,398.53,394.93,400.33,324,321.77,332.27,322.54,329.4,327.97,7.36,-9.73,-10.67,-2.23,5.4,-1.43,0.15,0.55,0.35,-0.4,-0.2,5,9,10,-5,-1,495.86,495.34,510.43,510.56,513.7,505.73,0.52,15.09,-7.97,-3.14,0.83,3109.39,3283.57,-174.18,0.88,0.63,5057,8708.5,5559.2,5570.67,3.8,2,2.6,3.5,3137.83,-502.2,36,63,74,65,32,22,42
553,1,2,341,234,-107,1216,1585,1414,1316,512.1,492.37,489.93,497.37,455.86,473.76,398.8,406.83,415.97,392.7,392.63,456.3,7.44,-23.27,-19.73,8.03,17.9,63.67,0.3,0.5,0.25,-0.2,-0.25,6,7,4,2,3,591.25,544.05,551.06,599.55,586.11,578.41,47.2,7.01,-7.7,13.44,0.67,2087.5,2014.08,73.42,0.94,0.53,3671.73,5118,4958.56,4742.38,4.47,2,3.67,3.38,375.62,-1286.83,22,61,77,62,16,20,54
557,1,2,-9,-17,-8,418,405,399,421,,,,,,,,,,,,,,,,,,,-0.1,0.2,0.05,-0.3,-0.15,3,2,1,2,1,,,,,,,,,,,0.79,1916.37,2152.5,-236.13,0.69,0.06,8336.45,8070.2,5662,5543.07,5,5,5,5,2527.13,2674.45,42,,46,77,,30,
